Solana wallet: 2hRg6EhT2Z21xKPDnzniENFbQzLazoSjwt6K26bKpump
signatures: 58
collected_utc: 2026-08-27T19:38:29Z
--------------------------------------------------------------------------------
UTC_TIME              SLOT        STATUS  SIGNATURE
2026-08-25T14:38:45Z  441651792   ok      2ku1V8xUYS5J7WwhPimFckXJXQub3dERYmatPJmHJmNegRJaMNYWB4zWycNG7SN1RdEmUh1whkorNdy4A6CyGTyu
2026-08-25T14:06:30Z  441646501   ok      C4yX5XZbpp9R119Z2hyNS57RePbfr9gQexJjhRweyzBX6MKySHJWdK4KuyxNreGYE6gx1j4KvFTGMBxWvxGY1mb
2026-08-25T12:40:30Z  441632453   ok      3wvXJSqV2EjCicRe7K9WBZXotGPdFGD6h8XxbgGBSagauCyS15R7nP4YE9w5YPHJyjRLWeFyd1icU3eejJCdCzq7
2026-08-25T12:09:15Z  441627334   ok      3pBoZ3KVRiTBbyWTbRBmHG4rS6ebZ1ZpYsjGKaKwamQV79TqtB1ufrYqmkjdMzrpEiEciaHNpAPqtbxcdxFPYyBe
2026-08-25T11:45:45Z  441623456   ok      3W2hfwGwjdUvdaH8mkRYNhdyaeBwANCXPfGbPdgPGZx1L6TMruZznPEGvkXG6wA4QifMhg6ve4BwLqyKcZDgfRKz
2026-08-25T11:45:34Z  441623425   ok      zgoYd1qhHFWxsngUs2FZKESgwwXCaxS6mPt3NUUgpPZXLZLW9dH2jkaD5cvkjbkWvDKbh6Q2zZk7cepYbStLvu4
2026-08-25T11:37:14Z  441622056   ok      KSCjjBrtJhKaupjHnirmthBWcrGtSmP6yEp57DQhy13PU5HK5gNKG3qTB6pvHikAQvfhP9tshMWCdZj8JhzKEzb
2026-08-25T11:37:14Z  441622056   ok      2AXhc71XbZ2YL3sPC9c2VahQk3hi2rfwpYqxBeHG6AjNF57i62Nc8y7BZvfeLd7cwAunDiLTTS86Zh4qRQgTSehY
2026-08-25T11:35:21Z  441621745   ok      4LtFBfqZytnRVbfsEyG6wym6Uy2NU2yRwuLC9RtCVhCqsfv71LzEUGdPZPiHonLD9e4zxHtvzRcr3xUnCHjHAZiJ
2026-08-25T11:35:00Z  441621687   ok      4QwmbqLHCPcEq16Dt4uCJA9ytgk8BXtmAVbFNx4U1Qz3LucKUQDMgWYH3rTHc2QLFBC2wZjZi91NFRpgFNGK8dvc
2026-08-25T11:33:00Z  441621360   ok      3kgpAaYZZ4kL72H7UYjEfcciGoai3Rj3rqGzRaUQhxQwN8tKVC2sPt7ioVD3a6txhHa2KfHn9aBgVchXwownrmva
2026-08-25T11:29:47Z  441620831   ok      3ujghxX49FomSj3QopnmxfZakjP1y9DpUExUDgW7HeiPCaRM4jH2GqwrsMmLS3LUwrVUg4k28gTg3qUQaSejuS52
2026-08-25T11:09:35Z  441617515   ok      5qSLTPCbrpUz8CKUvKdNQJb7eHQotzyz8QyxvKbWJKx7AaeQAQPqUL8zDdu2RbBFzybh7kkukzghC13BupuNFUo9
2026-08-25T10:54:59Z  441615115   ok      4ijsaQUYRcz7jNDmG6ZqVgf58mmtdDxrf2Z49U2uJiDU85mVMuXwrxh4CPU2cPwdnj1cyMD4X82yQnNApQ2YAYLj
2026-08-25T10:54:46Z  441615079   ok      t1te2cnMb8gsW1oT2xFLtgfEXyrWBEJtYKsZ4KEHv8uDJ8ry2j7XfjPQa4PdoGnZpHEcnjfaw8EwGzM1SFX5DXK
2026-08-25T10:43:02Z  441613154   ok      4r3ACZJQuS6D8GYjV8FvPV32x9xhfgmSGoyeP2vKNTuFevWp6n2hH9ybYjPG7rhThViBWxjyURutWdo7anUPBTX7
2026-08-25T10:06:27Z  441607115   ok      5oAuDC6DGTTCkbEfruvC7doGV18gyE1bMgr4sMSM7opw8cP2ieQRNvU28tHcGwz9bXpi6gbedqhnuUpJGY48rMmD
2026-08-25T07:02:28Z  441576864   ok      5GUDixVAFjyxsiyWbp8wsRW5CUbJg4MKBHG5C3RpnEgZPvaMyrLtonT9AadLnxwQEbvzHNmyfSeVrV34XiUxqYH4
2026-08-25T06:40:31Z  441573256   ok      mjYUejQc6hZrSMYyrRC6nhMgFjp1sJiFcginwRZvMdPpjJyLhXCisKMoSFwJLyKqCXZcaWNcvuyLw2gEmVVCyHB
2026-08-25T06:34:30Z  441572272   ok      5zFtJXtqHQDrgeLhWBv11v5QLtQ4MUSVtEWwecQGLyJvxwGFssuUXUuVcvNSNWCYBv3JPeKEMZP5e8VCRv5nwaQv
2026-08-25T06:33:59Z  441572186   ok      5nCuFkpvWLedo2dtsodvrs1mEnR5Qav48BiD8PDvkLRP7GkEDPWMEjd8z4vmqHyJtYZ5mc8jCW61daVgMfSfqdcF
2026-08-25T06:33:52Z  441572170   ok      48XQ4r13hHZqJBBpWN77rw8MuSrh4W1gimBchoJsZLbanLsvaspSX9e1zr3nbdninj6CyxER2S1zZR9jgQdCVXJY
2026-08-25T06:33:48Z  441572158   ok      4SXscU8RJN96baeXZW14SX6ufeDrM3GzuapgayESPxfwcCcsGkWCEbabLWwsBEYm3pGYehbUS18MSACMLwzGSb8u
2026-08-25T06:33:48Z  441572158   ok      4HdDxHvErfC9Y4ds69pfi8k3Wm1b8sQmi6TPY5WdBHZExdJtTEs8sLTPnDRf5AvwRchJiMPDMtbkj4dWu29H73Vy
2026-08-25T06:33:48Z  441572158   FAIL    5c4Sfu3QWh6spZwr3XzhrTq3kDXaMibjEs9Do11octkEYtfeDvaHCvbSy8LqneBXVLb1jFBc6XU3iejbJXaURCG7
2026-08-25T06:33:48Z  441572158   ok      27hK4VC9RLnmWQdQMPjUgaM1VXfh9TqjtvkbW4QpKnfwupU27QPvXXoJGnNtf2KrjZvQxXPDnpZ4dGmYWi7BueRg
